Кто добыл данные;Имя исполнителя;Возраст (возраст смерти);Употребление наркотиков (да 1);Жен/мужей;Разводов;Страна(Россия - 0, заграница - 1)
Даня Скоринкин;Курт Кобейн;27;1;1;0;1
Даня Скоринкин;Фрэнк Синатра;82;0;4;3;1
Даня Скоринкин;Йен Кертис;23;1;1;0;1
Даня Скоринкин;Джимми Хендрикс;27;1;0;0;1
Говорова Александра ;Честер Беннингтон ;41;1;2;1;1
Говорова Александра ;Джеймс Хетфилд;54;1;1;0;1
Говорова Александра ; Том Йорк ;49;0;1;0;1
Говорова Александра ;Дэйв Грол;49;0;2;1;1
Говорова Александра ;Алекс Тернер;32;0;0;0;1
Горностаева Светлана ;Тилль Линдеманн;55;1;3;3;1
Горностаева Светлана ;Деро Гои;47;0;1;0;1
Горностаева Светлана ;Аттила Дорн;47;0;1;0;1
Елисеева Екатерина ;Джерард Уэй;40;1;1;0;1
Елисеева Екатерина ; Энди Бирсак;27;0;1;0;1
Елисеева Екатерина ;Пол Маккартни;75;1;3;1;1
Елисеева Екатерина ;Майки Уэй;37;0;1;0;1
Елисеева Екатерина ;Дэн Рейнольдс;30;0;1;0;1
Зайченко Иван ;Джим Моррисон;27;1;1;0;1
Зайченко Иван ;Элвис Пресли;42;1;1;1;1
Зайченко Иван ;Боб Марли;36;1;1;0;1
Зайченко Иван ;Майкл Хатченс;37;1;0;0;1
Зайченко Иван ;Дэвид Боуи;69;1;2;1;1
Заливина Екатерина ;Густав Ор;21;1;0;0;1
Заливина Екатерина ;Майкл Джексон;50;1;2;1;1
Заливина Екатерина ;Пол Грей;38;1;0;0;1
Заливина Екатерина ;Джон Леннон;40;0;2;1;1
Заливина Екатерина ;Эми Уайнхаус;27;1;0;0;1
Даня Скоринкин;Виктор Цой;28;0;1;1;0
Даня Скоринкин;Сергей Курехин;42;0;2;1;0
Даня Скоринкин;Егор Летов;43;1;0;0;0
Даня Скоринкин;Владимир Высоцкий;42;1;3;2;0
Даня Скоринкин;Иосиф Кобзон;80;0;3;2;0
Даня Скоринкин;Лев Лещенко;75;0;2;1;0
Горностаева Светлана ;Наргиз Закирова;48;1;3;3;0
Горностаева Светлана ;Валерий Кипелов;60;1;1;0;0
Даня Скоринкин;Андрей Макаревич;64;0;3;3;0
Даня Скоринкин;Юрий Шевчук;60;0;1;0;0
